1,University of Minnesota - Twin Cities,UofM-TC,College of Science and Engineering,CSE
2,University of Minnesota - Twin Cities,UofM-TC,College of Liberal Arts,CLA
3,University of Minnesota - Twin Cities,UofM-TC,College of Biological Sciences,CBS
4,University of Minnesota - Twin Cities,UofM-TC,Carlson School of Management,CSOM
5,University of Minnesota - Twin Cities,UofM-TC,College of Design,CDES
6,University of Minnesota - Twin Cities,UofM-TC,"College of Food, Agriculture and Natural Resource Sciences",CFANS
7,University of Minnesota - Twin Cities,UofM-TC,College of Education and Human Development,CEHD
8,University of Minnesota - Twin Cities,UofM-TC,Graduate School,Grad
9,University of Minnesota - Twin Cities,UofM-TC,Other,Other
